File,EntryID,Name,English,Chinese
CardTable,1121,,Warden of Wind,风 之 守 护 者 
CardTable,1122,,Damage dealt by the Warden of Wind is dealt to each character at this location.,风 之 守 护 者 造 成 的 伤 害 会 伤 害 当 前 地 点 的 所 有 人 。\n\n
CardTable,1123,,Avalanche,雪 崩 
CardTable,1124,,"When you encounter this barrier, if it did not start your turn faceup on the location deck, each other character at your location summons and encounters it. Each character who defeats the barrier is dealt 1 Cold damage; each character who does not is dealt 2 Cold damage. If any character fails to defeat the barrier, it is undefeated. Leave it faceup on its location deck; while it’s there, characters at this location may not move, and encounter it as the first exploration of each of their turns.",遭 遇 这 个 障 碍 时 ， 如 果 在 你 的 回 合 开 始 时 它 在 牌 库 中 并 不 是 正 面 朝 上 ， 当 前 地 点 其 他 所 有 角 色 召 唤 并 遭 遇 它 。 打 败 该 障 碍 的 角 色 受 到 1寒 冷 伤 害 ， 没 有 打 败 的 角 色 受 到 2寒 冷 伤 害 。\n\n 如 果 哪 个 角 色 没 能 打 败 这 个 障 碍 ， 它 将 无 法 被 打 败 。 让 它 正 面 朝 上 位 于 地 点 牌 库 中 ， 当 它 处 于 这 种 状 态 时 ， 当 前 地 点 角 色 不 能 移 动 ， 并 在 回 合 中 第 一 次 探 索 的 时 候 遭 遇 它 。 
CardTable,1125,,Corroded Lock,被 腐 蚀 了 的 锁 
CardTable,1126,,"If defeated, examine the top card of the location deck, then put it on either the top or bottom of the deck.",如 果 它 被 击 败 ， 检 查 地 点 牌 库 顶 端 的 卡 牌 ， 然 后 把 它 放 回 牌 库 的 顶 部 或 底 部 。\n\n 
CardTable,1127,,Icy Ledge,贴 岸 冰 
CardTable,1128,,"If undefeated, you are dealt 1 Cold damage; move to a random other location and end your turn.",如 果 未 被 打 败 ， 你 会 受 到 1寒 冷 伤 害 ； 移 动 至 另 一 个 随 机 地 点 并 结 束 回 合 。\n\n 
CardTable,1129,,Occluding Field,封 闭 场 
CardTable,1130,,"Before you act, each other character at your location must summon and encounter this barrier. Any character may reveal a boon that has the Sihedron trait to evade the barrier; if all characters at this location do so, banish the barrier. Characters who fail to defeat the barrier are dealt 1d4+1 Force damage that may not be reduced.\n\nIf defeated, shuffle the barrier into a random other open location deck. If there are no other open locations, banish the barrier.",行 动 之 前 ， 当 前 地 点 其 他 所 有 角 色 必 须 召 唤 并 遭 遇 这 个 障 碍 。 任 何 一 个 角 色 可 以 亮 出 一 个 具 有 塞 西 卓 恩 特 性 的 恩 赐 以 躲 避 这 个 障 碍 ； 如 果 当 前 地 点 所 有 角 色 都 这 样 做 了 ， 放 逐 这 个 障 碍 。 没 能 打 败 障 碍 的 角 色 受 到 1d4+1力 场 伤 害 ， 且 无 法 降 低 。 \n\n如 果 被 打 败 ， 将 这 个 障 碍 随 机 洗 入 一 个 开 放 地 点 牌 库 。 如 果 没 有 其 他 开 放 地 点 ， 放 逐 这 个 障 碍 。 
CardTable,1131,,Stampeding Aurochs,野 牛 群 
CardTable,1132,,"If undefeated, each character must attempt a Dexterity or Acrobatics 13 check. Characters who succeed are dealt 2 Combat damage; characters who fail are dealt 1d6+1 Combat damage.",如 果 未 被 打 败 ， 每 个 角 色 必 须 尝 试 敏 捷 或 杂 耍 13检 定 。\n\n 成 功 的 角 色 受 到 2战 斗 伤 害 ； 失 败 的 角 色 受 到 1d6+1战 斗 伤 害 。\n\n 
CardTable,1133,,Flaming Icy Axe +1,燃 烧 冰 斧 +1
CardTable,1134,,"For your combat check, reveal this card to use your Strength or Melee skill + 1d12+1; you may additionally discard this card to add another 2d6 and the Cold or Fire trait. If not proficient with weapons, the difficulty of this check is increased by 4.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 力 量 或 近 战 技 能 + 1d12+1； 还 可 以 额 外 弃 置 这 张 卡 以 增 加 另 外 2d6和 寒 冷 或 火 焰 特 性 。 \n\n如 果 不 精 通 武 器 ， 这 次 检 定 难 度 增 加 4。
CardTable,1135,,"For your combat check, reveal this card to use your Dexterity or Ranged skill + 1d6+3; you may additionally discard this card to add another 4d4 and the Force trait.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 敏 捷 或 远 程 技 能 + 1d6+3； 还 可 以 额 外 弃 置 这 张 卡 以 增 加 4d4和 力 场 特 性 。
CardTable,1136,,Force Sling +3,力 场 投 石 索 +3
CardTable,1137,,Returning Frost Spear +2,回 旋 冰 霜 长 矛 +2
CardTable,1138,,"For your combat check, reveal this card to use your Dexterity or Ranged skill + 1d8+2; you may additionally recharge this card to add another 2d6 and the Cold trait.\n\nIf proficient with weapons, you may discard this card to add 1d4+2 to a combat check by a character at another location.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 敏 捷 或 远 程 技 能 + 1d8+2;还 可 以 额 外 回 库 这 张 卡 以 增 加 另 外 2d6和 寒 冷 特 性 。 \n\n如 果 精 通 武 器 ， 则 弃 置 这 张 卡 牌 为 另 一 个 地 点 的 一 个 角 色 增 加 1d4+2 战 斗 检 定 。 
CardTable,1139,,Shock Greatsword +2,电 击 巨 剑 +2
CardTable,1140,,"For your combat check, reveal this card to use your Strength or Melee skill + 2d6+2; you may additionally discard this card to add your Strength die and the Electricity trait. If not proficient with weapons, the difficulty of this check is increased by 4.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 力 量 或 近 战 技 能 +2d6+2； 还 可 以 额 外 弃 置 这 张 卡 以 增 加 你 的 力 量 骰 子 和 电 特 性 。\n\n 如 果 不 精 通 武 器 ， 这 次 检 定 的 难 度 增 加 4。\n\n
CardTable,1141,,Bewilder,迷 惑 
CardTable,1142,,"Discard this card to evade a monster and put it on the bottom of the deck. If you are exploring, you may immediately explore again.\n\nAfter playing this card, if you do not have the Arcane skill, banish it; otherwise, you may succeed at an Arcane 16 check to recharge this card instead of discarding it.",弃 置 这 张 卡 以 躲 避 一 个 怪 物 并 将 其 置 于 牌 库 底 部 。 如 果 你 在 探 索 ， 则 可 以 立 即 再 次 探 索 。 \n\n打 出 这 张 卡 牌 之 后 ， 如 果 你 没 有 奥 术 技 能 ， 则 将 其 放 逐 ； 否 则 成 功 奥 术 16检 定 以 回 库 这 张 卡 而 非 弃 置 。 
CardTable,1143,,Corrosive Storm,腐 蚀 风 暴 
CardTable,1144,,"Display this card next to your deck. While displayed, add 2d6 and the Acid trait to combat checks to defeat monsters. At the end of the turn, each other character is dealt 1 Acid damage, and if you do not have the Arcane skill, banish this card; otherwise, discard it, or you may succeed at an Arcane 14 check to recharge it instead.",在 牌 库 旁 边 展 示 这 张 卡 牌 。 展 示 时 ， 增 加 2d6和 强 酸 特 性 战 斗 检 定 以 打 败 怪 物 。\n\n 回 合 结 束 时 ， 其 他 所 有 角 色 受 到 1强 酸 伤 害 ； 如 果 你 没 有 奥 术 技 能 ， 放 逐 这 张 卡 牌 ； 否 则 将 其 弃 置 ， 也 可 以 成 功 奥 术 14检 定 回 库 这 张 卡 牌 。 
CardTable,1145,,Dominate,支 配 
CardTable,1146,,"Discard this card to evade a monster; before you do, search your location deck for a boon and add it to your hand.\n\nAfter playing this card, if you do not have either the Arcane or Divine skill, banish it; otherwise, you may succeed at an Arcane or Divine 14 check to recharge this card instead of discarding it.",弃 置 这 张 卡 牌 以 躲 避 一 个 怪 物 ； 这 样 做 之 前 ， 搜 索 你 的 地 点 牌 库 寻 找 恩 赐 并 将 其 添 加 至 你 的 手 牌 。 \n\n打 出 这 张 卡 后 ， 如 果 你 没 有 奥 术 和 神 圣 技 能 ， 将 其 放 逐 ； 否 则 成 功 奥 术 或 神 圣 14检 定 以 将 这 张 卡 牌 回 库 而 不 弃 置 。 
CardTable,1147,,Invoke,祈 求 
CardTable,1148,,"Bury this card to shuffle 1d6 random cards from the blessings discard pile into the blessings deck.\n\nAfter playing this card, if you do not have the Divine skill, banish it.",埋 葬 这 张 卡 并 将 1d6随 机 卡 片 从 祝 福 弃 置 牌 堆 中 洗 入 祝 福 牌 库 。 \n\n打 出 这 张 卡 牌 之 后 ， 如 果 你 没 有 神 圣 技 能 ， 将 其 放 逐 。 
CardTable,1149,,Sign of Wrath,愤 怒 印 记 
CardTable,1150,,"For your combat check, discard this card to use your Arcane or Divine skill + 3d8. Each other character at your location is dealt 1 Force damage. If you fail that check against a monster, you may evade it.\n\nAfter playing this card, if you do not have either the Arcane or Divine skill, banish it; otherwise, you may succeed at an Arcane or Divine 16 check to recharge this card instead of discarding it.",用 于 战 斗 检 定 ， 弃 置 这 张 卡 以 使 用 你 的 奥 术 或 神 圣 技 能 +3d8.当 前 地 点 其 他 所 有 角 色 受 到 1力 场 伤 害 。 如 果 对 抗 怪 物 检 定 失 败 ， 则 可 以 躲 避 它 。 \n\n打 出 这 张 卡 牌 之 后 ， 如 果 你 没 有 奥 术 和 神 圣 技 能 ， 则 将 其 放 逐 ， 否 则 成 功 奥 术 或 神 圣 16检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。
CardTable,1151,,Adamantine Plate Armor,精 金 板 甲 
CardTable,1152,,"Reveal this card to reduce damage dealt to you by 1, or recharge it to reduce damage dealt to you by 3.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, discard this card instead.\n\nIf proficient with heavy armors, you may recharge this card when you reset your hand.",亮 出 这 张 卡 牌 以 减 少 1受 到 的 伤 害 ， 否 则 将 其 回 库 以 减 少 3受 到 的 伤 害 。 \n\n放 逐 这 张 卡 牌 将 受 到 的 所 有 伤 害 减 为 0； 如 果 精 通 重 型 护 甲 ， 弃 置 这 张 牌 。 \n\n如 果 精 通 重 型 护 甲 ， 则 可 以 在 重 置 手 牌 时 回 库 这 张 卡 牌 。 
CardTable,1153,,Demon Armor,恶 魔 护 甲 
CardTable,1154,,"Discard this card to add 1d4+1 and the Fire and Magic traits to your combat check.\n\nRecharge this card to reduce Combat or Fire damage dealt to you by 3.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with heavy armors, discard this card instead.\n\nIf proficient with heavy armors, you may recharge this card when you reset your hand.",弃 置 这 张 卡 牌 以 增 加 战 斗 检 定 1d4+1和 火 焰 和 魔 法 特 性 。 \n\n回 库 这 张 卡 牌 以 减 少 受 到 的 3战 斗 或 火 焰 伤 害 。 \n\n放 逐 这 张 卡 牌 将 受 到 的 所 有 伤 害 减 为 0； 如 果 精 通 重 型 护 甲 ， 弃 置 这 张 卡 牌 。 \n\n如 果 精 通 重 型 护 甲 ， 则 在 重 置 手 牌 时 回 库 这 张 卡 牌 。
CardTable,1155,,Entropy Shield,熵 盾 
CardTable,1156,,"If you played a weapon that has the 2-Handed trait on this check, you may not play this card.\n\nReveal this card to reduce Combat damage dealt to you by 2. If proficient with light armors, you may play another armor on this check.\n\nBury this card to defeat a barrier that has the Lock trait.\n\nIf proficient with light armors, you may recharge this card when you reset your hand.",如 果 此 次 检 定 打 出 一 个 具 有 双 手 特 性 的 武 器 ， 则 不 能 使 用 这 张 卡 。 \n\n亮 出 这 张 卡 牌 以 减 少 受 到 的 2战 斗 伤 害 。 如 果 精 通 轻 型 护 甲 ， 在 这 次 检 定 可 以 打 出 另 一 个 护 甲 。 \n\n埋 葬 这 张 卡 牌 以 打 败 一 个 具 有 锁 特 性 的 障 碍 。 \n\n如 果 精 通 轻 型 护 甲 ， 则 在 重 置 手 牌 时 回 库 这 张 卡 牌 。 
CardTable,1157,,Fortress Shield,堡 垒 盾 
CardTable,1158,,"If you played a weapon that has the 2-Handed trait on this check, you may not play this card.\n\nRecharge this card to reduce damage dealt to you by 2.\n\nBury this card to reduce all damage dealt to you to 0; if proficient with light armors, discard this card instead.\n\nIf proficient with light armors, you may recharge this card when you reset your hand.",如 果 在 此 次 检 定 打 出 一 个 具 有 双 手 特 性 的 武 器 ， 则 不 能 使 用 这 张 卡 牌 。 \n\n回 库 这 张 卡 牌 以 减 少 受 到 的 2伤 害 。 \n\n埋 葬 这 张 卡 牌 将 受 到 的 所 有 伤 害 减 为 0； 如 果 精 通 轻 型 护 甲 ， 弃 置 这 张 卡 牌 。 \n\n如 果 精 通 轻 型 护 甲 ， 则 可 以 在 重 置 手 牌 时 回 库 这 张 卡 牌 。 
CardTable,1159,,Greater Bolstering Armor,强 化 软 衬 甲 
CardTable,1160,,"Recharge this card to reduce Combat damage dealt to you by 2. You may draw up to 3 cards.\n\nBanish this card to reduce all damage dealt to you to 0; if proficient with light armors, bury it instead.\n\nIf proficient with light armors, you may recharge this card when you reset your hand.",回 库 这 张 卡 以 减 少 受 到 的 2战 斗 伤 害 。 可 以 摸 最 多 3张 卡 牌 。 \n\n放 逐 这 张 卡 牌 将 受 到 的 所 有 伤 害 减 为 0； 如 果 精 通 轻 型 护 甲 ， 则 将 其 埋 葬 。 \n\n如 果 精 通 轻 型 护 甲 ， 则 可 以 在 重 置 手 牌 时 回 库 这 张 卡 牌 。 
CardTable,1161,,Belt of Physical Might,身 体 力 量 腰 带 
CardTable,1162,,"Reveal this card to add 2 to your Strength, Dexterity, or Constitution check. You may play another item on this check.",亮 出 这 张 卡 牌 以 增 加 2力 量 ， 敏 捷 或 体 质 检 定 。\n\n 此 次 检 定 可 使 用 另 一 个 道 具 。\n\n 
CardTable,1163,,Boots of Teleportation,传 送 靴 
CardTable,1164,,Recharge this card to move. You automatically succeed at any check required to move. You may not play this card during an encounter.,回 库 这 张 卡 牌 以 移 动 。\n\n 自 动 成 功 要 求 移 动 的 检 定 。\n\n 遭 遇 时 无 法 使 用 这 张 卡 牌 。\n\n 
CardTable,1165,,Ring of Energy Resistance,能 量 抗 性 戒 指 
CardTable,1166,,"Reveal this card to reduce Acid, Cold, Electricity, or Fire damage dealt to you by 4.",亮 出 这 张 卡 牌 以 降 低 受 到 的 4强 酸 ， 寒 冷 ， 电 或 火 焰 伤 害 。\n\n 
CardTable,1167,,Sihedron Ring,塞 西 卓 恩 戒 指 
CardTable,1168,,Reveal this card to reduce damage dealt to you by 2. You may play another item on this check.,亮 出 这 张 卡 牌 以 减 少 受 到 的 2伤 害 。\n\n 此 次 检 定 可 使 用 另 一 个 道 具 。\n\n 
CardTable,1169,,Ayruzi,艾 鲁 兹 
CardTable,1170,,"If you fail a Combat check to acquire this card; Ayruzi deals damage to you as if he were a monster.\n\nDiscard this card to add 1 die to any check, or to explore your location.\n\nDiscard this card to add 2 dice to any Divine check, or to reduce damage dealt to you by 4.",如 果 你 没 能 成 功 通 过 获 得 这 张 卡 牌 的 战 斗 检 定 ， 艾 鲁 兹 会 像 怪 物 一 样 对 你 造 成 伤 害 。 \n\n弃 置 这 张 卡 牌 以 向 任 何 检 定 增 加 1 个 骰 子 ， 或 探 索 你 所 在 的 地 点 。 \n\n弃 置 这 张 卡 牌 以 向 任 何 神 圣 检 定 增 加 2 个 骰 子 ， 或 减 少 对 你 造 成 的 4 点 伤 害 。
CardTable,1171,,Gyukak,久 卡 克 
CardTable,1172,,"Reveal this card to explore your current location. During this exploration, add 2 to any checks to defeat banes. Then shuffle Gyukak into a random open location deck, or banish Gyukak if there are no open locations.",亮 出 这 张 牌 以 探 索 当 前 地 点 。\n\n 在 这 次 探 索 时 ， 增 加 2任 意 检 定 以 打 败 灾 祸 。\n\n 然 后 将 久 牌 克 洗 入 一 个 随 机 开 放 地 点 牌 库 ， 如 果 没 有 开 放 地 点 则 放 逐 久 牌 克 。\n\n 
CardTable,1173,,Morgiv,莫 吉 夫 
CardTable,1174,,Discard this card to examine the bottom 3 cards of a location deck. You may put them back in any order.\n\nDiscard this card to explore your location.,弃 置 这 张 卡 以 查 看 一 个 地 点 牌 库 最 下 面 3卡 牌 。 可 以 按 任 意 顺 序 将 这 些 卡 牌 放 回 。 \n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 。 
CardTable,1175,,Mountaineer,登 山 者 
CardTable,1176,,Reveal this card to add 2d8 to any Survival check.\n\nRecharge this card to reduce all damage dealt to you by 3.\n\nDiscard this card to explore your location.,亮 出 这 张 卡 牌 以 增 加 2d8任 意 生 存 检 定 。 \n\n回 库 这 张 卡 以 减 少 你 受 到 的 所 有 伤 害 3点 。 \n\n弃 置 这 张 卡 牌 以 探 索 你 的 地 点 。
CardTable,1177,,Svevenka,斯 维 文 卡 
CardTable,1178,,"Banish this card to shuffle 1d4+1 random cards from your discard pile into your deck.\n\nBanish this card to explore your location. During this exploration, add 2 to any combat checks.",放 逐 这 张 卡 牌 以 将 弃 牌 堆 的 1d4+1张 随 机 卡 牌 洗 入 你 的 牌 库 。 \n\n放 逐 这 张 卡 牌 以 探 索 你 的 地 点 。 在 这 次 探 索 时 ， 增 加 2任 意 战 斗 检 定 。
CardTable,1179,,"Chellan, Sword of Greed",贪 婪 之 剑 谢 蓝 
CardTable,1180,,"For your combat check, reveal this card to use your Strength or Melee skill + 5; you may additionally discard this card to add another 2d6. If not proficient with weapons, the difficulty of this check is increased by 4. If this check is against the villain Karzoug the Claimer, banish this card.\n\nReveal this card to attempt an Intelligence or Charisma 10 check. If you succeed, shuffle 1d6+1 random cards from your discard pile into your deck; if you fail, banish this card.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 力 量 或 近 战 技 能 +5； 还 可 以 额 外 弃 置 这 张 卡 以 另 外 增 加 2d6.如 果 不 精 通 武 器 ， 这 次 检 定 难 度 增 加 4.如 果 这 次 检 定 是 对 抗 反 派 撷 取 者 卡 卓 ， 则 放 逐 这 张 卡 牌 。 \n\n亮 出 这 张 卡 牌 以 尝 试 智 力 或 魅 力 10 检 定 。 如 果 成 功 了 ， 则 从 弃 牌 牌 堆 随 机 洗 1d6+1卡 牌 至 你 的 牌 库 ； 如 果 失 败 了 ， 则 放 逐 这 张 卡 牌 。 
CardTable,1181,,Karzoug’s Burning Glaive,卡 卓 的 燃 烧 大 砍 刀 
CardTable,1182,,"For your combat check, reveal this card to use your Strength or Melee skill + 1d10+2; you may additionally discard this card to add another 1d6+8 and the Fire trait. If not proficient with weapons, the difficulty of this check is increased by 4.\n\nDiscard this card to attempt an Intelligence or Charisma 8 check. If you succeed, recharge 1d4+1 random cards from your discard pile; if you fail, bury this card.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 使 用 你 的 力 量 或 近 战 技 能 + 1d10+2； 还 可 以 额 外 弃 置 这 张 卡 牌 以 增 加 另 外 1d6+8 和 火 焰 特 性 。 如 果 不 精 通 武 器 ， 此 次 检 定 难 度 增 加 4.\n\n弃 置 你 这 张 卡 以 尝 试 智 力 或 魅 力 8检 定 。 如 果 成 功 了 ， 从 你 的 弃 牌 牌 堆 中 随 机 回 库 1d4+1卡 牌 ； 如 果 失 败 了 ， 埋 葬 这 张 卡 牌 。 
CardTable,1183,,Robes of Xin-Shalast,新 沙 城 长 袍 
CardTable,1184,,"Reveal this card to add 2 to an Arcane or Divine check. You may use another item on this check.\n\nWhen you are dealt Combat damage, reveal this card to shuffle up to 2 cards into your deck instead of discarding them.\n\nReveal this card and discard an item to search your deck and choose an item to add to your hand.",亮 出 这 张 卡 以 增 加 2奥 术 或 神 圣 检 定 。 这 次 检 定 可 以 使 用 另 外 一 个 道 具 。 \n\n当 你 受 到 战 斗 伤 害 ， 亮 出 这 种 卡 牌 将 2张 卡 牌 洗 入 你 的 牌 库 ， 而 非 将 它 们 弃 置 。 \n\n亮 出 这 张 卡 牌 并 弃 置 一 个 道 具 以 搜 索 你 的 牌 库 并 选 择 一 个 道 具 加 入 你 的 手 牌 。 
CardTable,1185,,Sihedron Tome,塞 西 卓 恩 之 书 
CardTable,1186,,"At the end of your turn, reveal this card to draw a new spell that has the Arcane trait, then banish a spell.\n\nBury this card to draw a spell that has the Arcane trait.",回 合 结 束 时 ， 亮 出 这 张 卡 牌 以 摸 一 张 具 有 奥 术 特 性 的 新 法 术 ， 然 后 将 法 术 放 逐 。 \n\n埋 葬 这 张 卡 牌 以 摸 一 个 具 有 奥 术 特 性 的 法 术 。 
CardTable,1187,,Blessing of Nethys,涅 希 斯 的 祝 福 
CardTable,1188,,"Discard this card to add 1 die to any check.\n\nDiscard this card to examine the top 2 cards of the location deck, put them back in any order, and explore your location.\n\nAfter you play this card, if the top card of the blessings discard pile has the Nethys trait, recharge this card instead of discarding it.",弃 置 这 张 卡 牌 为 任 意 检 定 增 加 1骰 子 。 \n\n弃 置 这 张 卡 牌 查 看 地 点 牌 库 最 上 面 2张 卡 牌 ， 以 任 意 顺 序 将 它 们 放 回 ， 并 探 索 你 的 地 点 。 \n\n打 出 这 张 卡 牌 之 后 ， 如 果 祝 福 弃 置 牌 堆 最 上 面 一 张 卡 有 涅 希 斯 特 性 ，回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1189,,Cinderma,辛 德 尔 玛 
CardTable,1190,,Enga Keckvia,恩 加 · 凯 克 维 亚 
CardTable,1191,,Forgefiend,锻 魔 
CardTable,1194,,Recharge this card to reduce Combat damage dealt to you by 3.\n,回 库 这 张 卡 牌 以 降 低 受 到 的 3战 斗 伤 害 。 \n
CardTable,1195,,Recharge this card to reduce Combat damage dealt to you by 2.,回 库 这 张 卡 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 2点 。\n\n 
CardTable,1196,,Discard this card to add 1 die to a check.\n\nDiscard this card to explore your location.,弃 置 这 张 卡 牌 为 一 次 检 定 增 加 1骰 子 。 \n\n弃 置 这 张 卡 牌 探 索 你 的 地 点 。 
CardTable,1197,,Discard this card to add 1d6 to a check.\n\nSucceed at a Divine 8 check to recharge this card instead of discarding it.,弃 置 这 张 卡 牌 为 一 次 检 定 增 加 1d6。 \n\n成 功 神 圣 8检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1198,,"For your combat check, discard this card to roll your Arcane die + 1d10+1.\n\n\nSucceed at an Arcane 6 check to recharge this card instead of discarding it.",用 于 战 斗 检 定 ， 弃 置 这 张 卡 牌 以 掷 你 的 奥 术 骰 子 + 1d10+1.\n\n\n成 功 奥 术 6检 定 以 回 库 这 张 卡 而 不 是 将 其 弃 置 。 
CardTable,1199,,"Reveal this card and choose a character at your location. Shuffle 1d4+1 random cards from his discard pile into his deck, then discard this card.\n\nSucceed at a Divine 8 check to recharge this card instead of discarding it.",亮 出 这 张 卡 牌 并 选 择 当 前 位 置 的 一 个 角 色 。 从 他 的 弃 牌 牌 堆 洗 1d4+1 随 机 卡 牌 至 他 的 牌 库 ， 然 后 弃 置 这 张 卡 牌 。 \n\n成 功 神 圣 8检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1200,,Discard this card to add 1 to a check.\n\nSucceed at a Divine 4 check to recharge this card instead of discarding it.,弃 置 这 张 卡 牌 为 一 次 检 定 增 加 1.\n\n成 功 神 圣 4检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1201,,"For your combat check, discard this card to roll your Arcane die + 2d4 with the Electricity trait.\n\nSucceed at a Arcane 6 check to recharge this card instead of discarding it.",用 于 战 斗 检 定 ， 弃 置 这 张 卡 以 掷 你 的 奥 术 骰 子 + 2d4并 具 有 电 特 性 。 \n\n成 功 奥 术 6检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1202,,"For your combat check, discard this card to roll your Strength or Melee die + 1d6 and +1d8.\n\nIf not proficient with weapons, the difficulty of this check is increased by 4.",用 于 战 斗 检 定 ， 弃 置 这 张 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 1d6 和 +1d8.\n\n如 果 不 精 通 武 器 ， 这 次 检 定 难 度 增 加 4.
CardTable,1203,,"For your combat check, reveal this card to roll your Strength or Melee die + 1d8 +1 with the Fire trait.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 1d8+1并 具 有 火 焰 特 性 。\n\n 
CardTable,1204,,"For your combat check, discard this card to roll your Strength or Melee die + 2d10.\n\nIf not proficient with weapons, the difficulty of this check is increased by 4.",用 于 战 斗 检 定 ， 弃 置 这 张 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 2d10.\n\n如 果 不 精 通 武 器 ， 这 次 检 定 难 度 增 加 4.
CardTable,1205,,"For your combat check, discard this card to roll your Strength or Melee die + 1d6 and +1d8.\n\nIf not proficient with weapons, the difficulty of this check is increased by 4.",用 于 战 斗 检 定 ， 弃 置 这 张 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 1d6 和 +1d8.\n\n如 果 不 精 通 武 器 ， 这 次 检 定 难 度 增 加 4.
CardTable,1206,,"For your combat check, reveal this card to roll your Strength or Melee die + 1d8.",用 于 战 斗 检 定 ， 亮 出 这 张 卡 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 1d8。\n\n
CardTable,1207,,"For your combat check, discard this card to roll your Strength or Melee die + 2d6.",用 于 战 斗 检 定 ， 弃 置 这 张 牌 以 掷 你 的 力 量 或 近 战 骰 子 + 2d6。\n\n
CardTable,1208,,Discard this card to reduce damage dealt to you by 3.\n\nSucceed at an Arcane or Divine 7 check to recharge this card instead of discarding it.,弃 置 这 张 卡 牌 以 减 少 你 受 到 的 3伤 害 。 \n\n成 功 奥 术 或 神 圣 7检 定 以 回 库 这 张 卡 牌 而 非 将 其 弃 置 。 
CardTable,1209,,Reveal this card to add 1 die to your Acrobatics check.,亮 出 这 张 卡 牌 以 增 加 杂 耍 检 定 1骰 子 。\n\n 
CardTable,1210,,Discard this card to add 1 die to your check to acquire a boon. \n\nSucceed at an Intelligence or Knowledge 10 check to recharge this card instead of discarding it.,弃 置 这 张 卡 牌 以 增 加 获 得 恩 赐 检 定 的 1骰 子 。 \n\n成 功 智 力 或 知 识 10 检 定 以 回 库 这 张 卡 牌 而 不 是 将 其 弃 置 。 
CardTable,1211,,Banish this card and choose a character at your location to shuffle 1d4 random cards from his discard pile into his deck.,放 逐 这 张 卡 牌 ， 在 你 的 地 点 选 择 一 个 角 色 ， 从 他 的 弃 置 牌 堆 中 洗 1d4张 随 机 卡 牌 到 他 的 牌 库 。\n\n
CardTable,1212,,Recharge this card to reduce Combat damage dealt to you by 1.,回 库 这 张 牌 ， 对 你 造 成 的 战 斗 伤 害 减 少 1点 。\n\n 
CardTable,1213,,Recharge this card to defeat a barrier whose highest difficulty to defeat is 14 or lower.,回 库 这 张 卡 牌 以 打 败 一 个 障 碍 ， 该 障 碍 的 最 高 打 败 难 度 为 14 或 更 低 。
CardTable,1214,,Poog of Zarongel,扎 隆 格 的 波 格 
CardTable,1215,,"Recharge this card to add 3 and the Fire trait to a combat check.\n\nBury this card to recharge 1d4 random cards from your discard pile.\n\nDiscard this card to explore your location.\n\n&lt;i&gt;“Poog say Zarongel is the best,\nHe help burn things and heal the rest.\nZarongel’s favor makes Poog blessed.\nAnd Poog also stab you with knife if you make fun of how he isn’t good at riding animals.”&lt;/i&gt;\n—Poog’s song","回 库 这 张 卡 以 增 加 一 次 战 斗 检 定 3和 火 焰 特 性 。 \n\n埋 葬 这 张 卡 牌 从 你 的 弃 牌 牌 库 回 库 1d4随 机 卡 牌 。 \n\n弃 置 这 张 卡 以 探 索 你 的 地 点 。 \n\n&lt;i&gt;“ 波 格 说 扎 隆 格 是 最 好 的 ,\n他 帮 助 烧 毁 东 西 并 治 疗 其 他 人 。 \n扎 隆 格 的 恩 惠 让 波 格 受 到 祝 福 。 \n如 果 你 嘲 笑 波 格 不 擅 于 骑 动 物 ， 他 会 用 刀 捅 你 。 ” &lt;/i&gt;\n— 波 格 的 歌 谣 "
CardTable,1216,,Fire Sneeze,火 焰 喷 嚏 
